question_id,option_a,option_b,option_c,option_d,correct_option
0011c7db-20a8-441e-bdce-82caf0b52da5,A type of keyboard,A program in execution,A network cable,A database row,B
036d86e9-ee2a-455d-8834-fd4e466944cc,40 km/h,50 km/h,60 km/h,70 km/h,C
04d2b465-5229-472c-9d50-e5a37c1a2d5d,3/4,4/5,3/5,5/3,C
061e1173-0153-4b99-a330-0dcfcab097dd,Inheritance,Abstraction,Serialization,Iteration,B
078d62f4-d3c7-4068-b9a6-0576ceb47368,2,3,4,5,C
07eebb20-aa84-4824-862b-e9373951be3e,Single point of failure,Redundancy,Manual scaling only,Removing backups,B
0934386e-34c3-4824-8c1a-d38d109ac9c5,Because training data is always wrong,Because the model may overfit and fail on new data,Because more data is never useful,Because evaluation is unnecessary,B
0b71110e-ec88-4267-a1c7-f6a5706d7819,To make charts colorful,To improve data quality and reliability,To remove all data,To avoid any calculations,B
0c1c07e5-37e6-466e-b589-78d4302d4b85,Only a value,A value and a pointer to the next node,Only an index,A full array,B
121352b2-43bb-47fa-ad62-4428f103feb2,Mode,Mean,Index,Range,B
12f7a356-3839-40f3-8826-114b72a355fe,Conduction,Convection,Radiation,Insulation,C
17bd982a-3f4d-41ef-9758-19506b94e83f,Storing many values of the same type,Printing graphics only,Connecting to the internet,Encrypting passwords,A
17f08f9f-ce83-494c-9d2d-f2ec98ee3020,Proton,Neutron,Electron,Nucleus,C
18a41f8d-ea30-46a6-9f4a-5a329c454ddc,She go to office daily,She goes to office daily,She going to office daily,She gone to office daily,B
1bef1a07-4f7f-495e-8afb-512ca87bd3c0,Atomic radius only,Electronegativity only,Metallic character only,Atomic size only,B
20af518e-9ebf-4ee4-b11e-7c3c944f2c1d,A raw unprocessed row of data,A meaningful conclusion drawn from data,A random number,A chart color choice,B
224bc452-18eb-4a7a-a045-21788a28fa40,Permanent hardware ownership,Automatic adjustment of resources to match demand,Manual coding style correction,Database normalization,B
22f6be61-e89b-4cba-b2be-7809b3feca21,grow,increase,shrink,extend,C
23afe8cc-06fc-40fc-9010-5d02d08106a2,Deleting all old data,Ability to handle changing workload by adjusting resources,Running only one user at a time,Removing backups,B
24395ef9-128e-4e8f-84fb-37520702bb4f,To make decisions based on evidence,To replace all managers,To avoid measurement,To remove customer feedback,A
253fc2bf-229a-4f64-a38f-5a560ca49ef2,Only storing spreadsheets,Packaging an application and its dependencies consistently,Replacing all networks,Designing UI screens,B
