question_id,subject_id,subject_name,skill_id,skill_name,subskill_id,subskill_name,role_ids,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,sample_answer,explanation,expected_concepts,hidden_skills_targeted,evaluation_mode,rag_tags
354,12,Computer Networks,65,"Networks - HTTP and DNS",65,"Web Request Resolution Flow","2|3|4|9|10",easy,MCQ,"Which protocol is commonly used by browsers to request webpages from servers?",SMTP,HTTP,FTP only,DHCP,B,"HTTP is commonly used by browsers to request webpages from servers.","HTTP powers the request-response model of the web.","HTTP|web request protocol|browser server communication","protocol awareness|accuracy","exact_match","computer-networks|http|easy|mcq"
355,13,Software Engineering,70,"Software Engineering - Maintenance and Versioning",70,"Change Management and Version Control Awareness","1|3|4|8|13",medium,MCQ,"Which practice helps teams track and manage code changes over time?",Version control,Formatting only,Manual deployment,Static hosting,A,"Version control helps teams track and manage code changes.","It preserves history, supports collaboration, and enables rollback.","version control|change tracking|collaboration","process awareness|accuracy","exact_match","software-engineering|version-control|medium|mcq"
356,14,Web Development,72,"Web Development - CSS Styling",72,"Selectors Layout and Styling Basics","3|4|8",easy,MCQ,"Which CSS property commonly changes text color?",font-size,color,margin,padding,B,"The color property changes text color.","It controls the foreground text color in CSS.","CSS color|text styling|basic properties","visual reasoning|accuracy","exact_match","web-development|css|easy|mcq"
357,15,Cloud Computing,78,"Cloud Computing - Availability and Reliability",78,"Redundancy and Uptime Basics","2|4|9|10",medium,MCQ,"Which idea most directly helps improve service availability?",Single point of failure,Redundancy,Manual scaling only,Removing backups,B,"Redundancy most directly improves availability.","Duplicate resources reduce outage risk when one component fails.","redundancy|availability|fault tolerance","reliability thinking|accuracy","exact_match","cloud-computing|availability|medium|mcq"
358,16,Cyber Security,82,"Cyber Security - Secure Practices",82,"Password and Safe Usage Basics","9|10|11",easy,Situational,"A user creates a very short password because it is easier to remember. What first recommendation should the app make?","","","","",,"The app should recommend using a longer, stronger password or passphrase and ideally a password manager, because short simple passwords are much easier to guess or crack.","The response should mention strength, memorability, and safer practice.","password strength|passphrase|secure habit","user guidance|security mindset","rubric","cyber-security|passwords|situational|easy"
359,17,Machine Learning,84,"Machine Learning - Supervised Learning",84,"Labels and Prediction Basics","6|7|16",easy,Situational,"You want to predict whether a learner will pass a certification based on past labeled outcomes. Why is supervised learning an appropriate starting point?","","","","",,"Supervised learning is appropriate because the problem has past examples with known outcomes, allowing the model to learn patterns that relate learner inputs to pass or fail labels.","The answer should connect labeled historical outcomes to predictive learning.","labeled prediction|pass fail modeling|supervised fit","problem framing|applied ML thinking","rubric","machine-learning|supervised|situational|easy"
360,18,Artificial Intelligence,89,"Artificial Intelligence - Search and Problem Solving",89,"State Space Search Basics","1|6|16",medium,Situational,"A learner can solve puzzles but cannot explain the steps systematically. Why are search-based AI questions useful for evaluating thinking quality?","","","","",,"Search-based AI questions are useful because they reveal whether the learner can represent states, consider alternatives, and move through a problem methodically rather than relying only on intuition.","The response should connect search framing to structured problem solving.","search reasoning|stepwise problem solving|state representation","evaluation design|structured thinking","rubric","artificial-intelligence|search|situational|medium"
361,19,Data Analytics,93,"Data Analytics - Descriptive Statistics",93,"Mean Median and Spread Basics","5|13|14",easy,Subjective,"What does the median represent in a dataset?","","","","",,"The median represents the middle value in an ordered dataset, splitting the data into two equal halves.","The answer should mention ordering and the middle position.","median|middle value|ordered data","clarity|concept recall","rubric","data-analytics|statistics|easy|subjective"
362,20,DevOps,97,"DevOps - Automation",97,"Task Automation and Scripting Basics","2|4|9|10",easy,Situational,"A team repeats the same deployment steps manually every week and makes mistakes. What improvement should your app recommend first?","","","","",,"The app should recommend automating the repeated deployment steps using scripts or a pipeline so the process becomes faster, more consistent, and less error-prone.","The response should connect repetition to automation value.","deployment automation|reduce manual errors|pipeline thinking","operational improvement|practical reasoning","rubric","devops|automation|situational|easy"
363,6,Programming Fundamentals,32,"Programming - Control Flow",32,"Conditional and Loop Constructs","1|2|4|8",medium,MCQ,"Which construct is best when you want code to repeat until a condition becomes false?",if statement,class definition,loop,array,C,"A loop repeats code until a stopping condition is met.","Loops are designed for repeated execution.","loops|repetition|condition-based execution","logic building|accuracy","exact_match","programming|loops|medium|mcq"
364,7,Object-Oriented Programming,37,"OOP - Encapsulation",37,"Access Control Design","1|2|4|12",easy,Situational,"A learner exposes every variable publicly in class design. What object-oriented principle should your app reinforce first?","","","","",,"The app should reinforce encapsulation, because object state should usually be protected and accessed through controlled methods rather than unrestricted direct exposure.","The response should connect public exposure with weak design and data control issues.","encapsulation|data hiding|controlled access","design coaching|maintainability awareness","rubric","oop|encapsulation|situational|easy"
365,8,Data Structures,44,"Data Structures - Queues",44,"Queue Operations and Scheduling Use Cases","1|2|4|9",easy,Subjective,"Why is a queue a natural fit for serving customers in arrival order?","","","","",,"A queue is a natural fit because it follows first-in-first-out order, matching the idea that the first customer to arrive is the first to be served.","The answer should connect FIFO behavior with arrival order service.","queue|FIFO|real-world analogy","clarity|application thinking","rubric","data-structures|queue|easy|subjective"
