subject_id,subject_name,track,subject_definition,domain_group,industry_relevance
1,Mathematics,School,"Covers algebra, geometry, trigonometry, calculus, and probability. Builds logical reasoning, quantitative thinking, and strong problem-solving foundations for academics and technical careers.",Foundation,"Essential for engineering, analytics, finance, data science, and aptitude-heavy roles."
2,Physics,School,"Explores motion, force, energy, electricity, optics, and modern physics. Helps students understand real-world phenomena through scientific reasoning and mathematical application.",Foundation,"Useful for engineering, hardware, research, robotics, and analytical problem-solving roles."
3,Chemistry,School,"Introduces physical, organic, and inorganic chemistry with focus on matter, reactions, bonding, and materials. Builds conceptual clarity for science-based learning and applied industries.",Foundation,"Relevant for chemical, pharmaceutical, materials, biotech, and process-driven industries."
4,English Communication,School,"Develops grammar, vocabulary, reading, writing, and communication clarity. Supports better expression, comprehension, and confidence in academic and professional settings.",Foundation,"Critical for interviews, teamwork, documentation, client communication, and workplace success."
5,Aptitude,College,"Builds quantitative ability, logical reasoning, data interpretation, and problem-solving speed. Important for placement preparation, competitive tests, and decision-making tasks.",Placement,"Highly relevant for placements, consulting, analytics, operations, and entrance assessments."
6,Programming Fundamentals,College,"Covers variables, control flow, functions, arrays, and problem-solving basics in programming. Forms the entry point to software development and coding interviews.",Core CS,"Required for software engineering, testing, scripting, automation, and technical interviews."
7,Object-Oriented Programming,College,"Teaches classes, objects, inheritance, polymorphism, abstraction, and encapsulation. Helps students write modular, reusable, and maintainable software systems.",Core CS,"Important for software development, backend systems, enterprise apps, and code design."
8,Data Structures,College,"Focuses on arrays, linked lists, stacks, queues, trees, and hashing. Helps organize data efficiently for scalable problem-solving and coding rounds.",Core CS,"Crucial for software engineering, product development, and technical interview performance."
9,Algorithms,College,"Covers searching, sorting, recursion, greedy methods, dynamic programming, and graph algorithms. Trains students to solve problems efficiently with optimized logic.",Core CS,"Core requirement for SDE, competitive coding, research, and systems roles."
10,Database Management Systems,College,"Explains relational databases, SQL, normalization, indexing, and transactions. Helps manage structured data used in real-world software systems.",Core CS,"Important for backend, analytics, product engineering, and database administration roles."
11,Operating Systems,College,"Covers processes, scheduling, memory management, file systems, and concurrency. Helps students understand how software interacts with hardware resources.",Core CS,"Important for systems engineering, backend development, embedded systems, and interviews."
12,Computer Networks,College,"Teaches network models, routing, transport protocols, and communication principles. Builds understanding of how devices and services exchange data.",Core CS,"Useful for backend, cloud, DevOps, cybersecurity, and network engineering roles."
13,Software Engineering,College,"Focuses on software lifecycle, requirement analysis, design, testing, maintenance, and teamwork. Helps build reliable software through systematic practices.",Core CS,"Important for development teams, QA, project execution, and product delivery."
14,Web Development,College,"Covers frontend, backend basics, APIs, HTTP, and web architecture. Helps students build modern web applications used across industries.",Applied Tech,"Highly relevant for frontend, backend, full stack, startup, and product roles."
15,Cloud Computing,College,"Introduces cloud infrastructure, virtualization, deployment, scaling, and managed services. Helps students understand modern application hosting and operations.",Applied Tech,"Useful for DevOps, backend, infrastructure, SRE, and platform engineering roles."
16,Cyber Security,College,"Covers security principles, threats, encryption, access control, and secure practices. Helps protect systems, users, and data in digital environments.",Applied Tech,"Relevant for security analysis, compliance, secure engineering, and SOC roles."
17,Machine Learning,College,"Focuses on supervised and unsupervised learning, model evaluation, and feature-based prediction. Helps students understand data-driven intelligence systems.",Emerging Tech,"Essential for data science, ML engineering, AI product development, and analytics."
18,Artificial Intelligence,College,"Covers intelligent agents, search, reasoning, planning, and applied AI methods. Helps students understand how machines simulate decision-making and problem-solving.",Emerging Tech,"Relevant for AI engineering, automation, robotics, and intelligent product systems."
19,Data Analytics,College,"Explains data cleaning, statistics, interpretation, dashboards, and business insights. Helps students convert raw data into meaningful decisions.",Applied Tech,"Important for analyst, BI, product, operations, and data-driven business roles."
20,DevOps,College,"Covers CI/CD, automation, containers, monitoring, and deployment workflows. Helps teams build, test, and release software efficiently and reliably.",Applied Tech,"Critical for DevOps, SRE, platform engineering, cloud operations, and release management."
