skill_id,subject_id,skill_name,skill_definition,subskill_id,subskill_name,subskill_definition,industry_usage,hidden_skills_supported
1,1,Algebra - Linear Equations,"Focuses on solving first-degree equations and interpreting algebraic relationships.",1,Linear Equations Solving,"Solving one-variable and two-variable linear equations using algebraic transformations.","Analytics; Engineering; Aptitude","Logical reasoning|Accuracy|Stepwise thinking"
2,1,Algebra - Quadratic Equations,"Covers second-degree equations, root behavior, and factorization methods.",2,Quadratic Roots and Discriminant,"Finding roots using factorization, quadratic formula, and discriminant interpretation.","Analytics; Engineering; Aptitude","Pattern recognition|Analytical thinking"
3,1,Geometry - Triangles,"Builds understanding of triangle properties, angle relations, and area concepts.",3,Triangle Properties and Applications,"Using congruence, similarity, perimeter, and area rules in problem solving.","Engineering; Design; Aptitude","Visualization|Reasoning"
4,1,Geometry - Coordinate Geometry,"Teaches coordinate-based representation of points, lines, and distances.",4,Distance and Slope Analysis,"Computing slope, midpoint, and distance between points in 2D space.","Engineering; Graphics; Analytics","Analytical thinking|Precision"
5,1,Calculus - Limits,"Introduces function behavior near a point and the idea of continuity.",5,Limit Evaluation Basics,"Evaluating direct substitution, factorization-based, and simple one-sided limits.","Engineering; ML; Physics","Abstraction|Foundational reasoning"
6,1,Calculus - Derivatives,"Explains rate of change and slope-based analysis of functions.",6,Differentiation Fundamentals,"Applying basic derivative rules to polynomial and simple rational functions.","Engineering; Economics; ML","Analytical thinking|Optimization mindset"
7,1,Probability - Basic Events,"Builds intuition for uncertainty, outcomes, and event likelihood.",7,Simple Probability Computation,"Calculating basic probabilities from sample spaces and favorable outcomes.","Data Science; Risk; Aptitude","Decision thinking|Quantitative clarity"
8,1,Trigonometry - Ratios,"Teaches sine, cosine, tangent, and angle-based triangle reasoning.",8,Trigonometric Ratio Application,"Applying trigonometric ratios in right-triangle problems and identities.","Engineering; Physics; Graphics","Visualization|Formula application"
9,2,Mechanics - Kinematics,"Explains displacement, velocity, acceleration, and equations of motion.",9,Motion in One Dimension,"Solving straight-line motion problems using kinematic equations.","Mechanical; Robotics; Engineering","Quantitative reasoning|Interpretation"
10,2,Mechanics - Newtonian Motion,"Builds force-based reasoning using Newton’s laws of motion.",10,Force and Acceleration Analysis,"Applying Newton’s laws to free-body diagrams and motion prediction.","Engineering; Robotics; Core Science","Causal reasoning|Application"
11,2,Mechanics - Work Energy Power,"Explains work done, kinetic energy, potential energy, and power.",11,Energy Conservation Problems,"Solving mechanical problems using work-energy principles and conservation.","Mechanical; Engineering; Physics","Model thinking|Application"
12,2,Electricity - Electrostatics,"Introduces electric charges, forces, and fields in static systems.",12,Charge Interaction and Coulomb Law,"Analyzing electric force and field behavior between point charges.","Electrical; Electronics; Engineering","Analytical reasoning|Conceptual clarity"
13,2,Electricity - Current Flow,"Explains current, resistance, voltage, and simple circuit behavior.",13,Ohms Law and Circuit Basics,"Applying Ohm’s law and series-parallel concepts in circuit questions.","Electrical; Hardware; Engineering","Practical reasoning|Accuracy"
14,2,Optics - Reflection and Refraction,"Teaches light behavior at surfaces and between media.",14,Image Formation and Refraction Basics,"Understanding ray behavior, refractive index, and image formation.","Optics; Design; Imaging","Visualization|Observation"
15,2,Thermodynamics - Heat Transfer,"Builds concepts of heat flow and thermal processes.",15,Conduction Convection Radiation,"Comparing and applying the three major heat transfer mechanisms.","Mechanical; Process; Core Science","Comparative reasoning|Application"
16,3,Physical Chemistry - Atomic Structure,"Introduces atom models, electrons, orbitals, and atomic properties.",16,Subatomic Structure and Orbitals,"Understanding protons, neutrons, electrons, shells, and orbital basics.","Materials; Pharma; Science","Foundational reasoning|Precision"
17,3,Chemical Bonding - Bond Types,"Explains how atoms combine through different bond formations.",17,Ionic and Covalent Bonding,"Distinguishing ionic, covalent, metallic, and coordinate bonding.","Pharma; Materials; Chemistry","Concept differentiation|Classification"
18,3,Organic Chemistry - Hydrocarbons,"Focuses on basic carbon chains and unsaturated compounds.",18,Hydrocarbon Classification and Reactions,"Identifying and comparing alkanes, alkenes, and alkynes.","Pharma; Petrochem; Materials","Pattern recognition|Applied memory"
19,3,Inorganic Chemistry - Periodic Trends,"Builds understanding of periodic behavior across elements.",19,Trend-Based Element Comparison,"Comparing atomic size, electronegativity, and ionization energy trends.","Pharma; Materials; Education","Trend analysis|Comparison"
20,3,Stoichiometry - Mole Concept,"Teaches quantitative chemical conversions using mole relationships.",20,Mole Mass and Conversion Problems,"Converting between mass, moles, particles, and volume.","Process; Lab; Manufacturing","Calculation accuracy|Structured solving"
21,4,Grammar - Parts of Speech,"Builds sentence-level grammatical awareness and word function clarity.",21,Word Function Identification,"Identifying nouns, pronouns, verbs, adjectives, and adverbs in context.","Corporate; Writing; Communication","Accuracy|Language awareness"
22,4,Grammar - Sentence Correction,"Improves correctness in sentence construction and grammar usage.",22,Error Detection and Correction,"Finding and fixing agreement, tense, modifier, and structure issues.","Placements; Communication; Writing","Attention to detail|Clarity"
23,4,Vocabulary - Semantic Relations,"Expands expressive and interpretive word knowledge.",23,Synonyms and Antonyms in Context,"Choosing meaning-based equivalents and opposites using context clues.","Placements; Communication; Exams","Language precision|Comprehension"
24,4,Reading - Comprehension Skills,"Builds passage understanding, inference, and idea extraction.",24,Main Idea and Inference Analysis,"Reading passages to infer meaning, tone, and supporting details.","Placements; Analysis; Communication","Inference|Structured reading"
25,4,Writing - Formal Communication,"Develops professional writing for workplace and academic settings.",25,Email and Summary Writing,"Drafting structured formal responses, summaries, and concise messages.","Corporate; Documentation; Academia","Communication|Professionalism"
26,5,Aptitude - Percentages,"Improves numerical reasoning involving proportional comparisons.",26,Percentage Change and Comparison,"Solving increase, decrease, and ratio-based percentage problems.","Placements; Consulting; Banking","Speed|Calculation accuracy"
27,5,Aptitude - Profit and Loss,"Applies arithmetic to commercial scenarios and margins.",27,Cost Selling Price Analysis,"Calculating gain, loss, discount, and marked price relationships.","Placements; Retail; Business","Commercial reasoning|Accuracy"
28,5,Aptitude - Time Speed Distance,"Models motion and rate relationships in applied arithmetic.",28,Relative Motion and Travel Time,"Solving journey, meeting, and rate-based motion questions.","Placements; Operations; Transport","Quantitative modeling|Speed"
29,5,Reasoning - Series and Patterns,"Develops pattern recognition in ordered sequences.",29,Number and Logic Series Detection,"Finding progression rules in number and symbolic sequences.","Placements; Analytics; Tests","Pattern recognition|Reasoning"
30,5,Reasoning - Blood Relations,"Builds logical interpretation of relationship statements.",30,Family Relation Inference,"Deriving family connections from narrative and symbolic clues.","Placements; Screening; Tests","Interpretation|Mental mapping"
31,6,Programming - Variables and Data Types,"Introduces typed storage and basic value handling in programs.",31,Primitive Types and Variable Usage,"Declaring variables, assigning values, and choosing correct data types.","Software; Automation; Testing","Precision|Foundational coding"
32,6,Programming - Control Flow,"Teaches branching and repetition for executable logic.",32,Conditional and Loop Constructs,"Using if-else, for, while, and nested logic for flow control.","Software; Automation; Interviews","Flow thinking|Logic building"
33,6,Programming - Functions and Scope,"Builds modular coding practice and execution boundaries.",33,Function Design and Scope Rules,"Using parameters, return values, and local/global variable scopes.","Software; Scripting; Engineering","Decomposition|Modularity"
34,6,Programming - Arrays Basics,"Explains indexed collection storage and traversal.",34,Array Traversal and Update,"Reading, modifying, and iterating over arrays efficiently.","Software; DSA; Interviews","Index reasoning|Iteration"
35,6,Programming - Pseudocode Logic,"Strengthens problem decomposition before code implementation.",35,Algorithm Drafting with Pseudocode,"Representing logical steps clearly using structured pseudocode.","Software; QA; Interviews","Structured thinking|Communication"
36,7,OOP - Classes and Objects,"Introduces software modeling using object-oriented building blocks.",36,Object Modeling Basics,"Creating classes, instantiating objects, and using members.","Software; Enterprise Apps; Backend","Abstraction|Modeling"
37,7,OOP - Encapsulation,"Teaches data hiding and controlled access in software design.",37,Access Control Design,"Using private members, getters, setters, and encapsulation logic.","Software; Backend; Enterprise","Design discipline|Maintainability"
38,7,OOP - Inheritance,"Explains hierarchical reuse and specialization in OOP systems.",38,Base and Derived Class Design,"Designing and reasoning about parent-child class relationships.","Software; Enterprise Apps","Hierarchy thinking|Code reuse"
39,7,OOP - Polymorphism,"Builds flexible behavior using common interfaces and overrides.",39,Method Overriding and Dynamic Dispatch,"Using runtime behavior selection through inheritance and interfaces.","Software; Backend; Design","Abstraction|Flexibility"
40,7,OOP - Abstraction,"Focuses on exposing essential behavior while hiding implementation.",40,Abstract Classes and Interfaces,"Using contracts and abstract structures in clean software design.","Software; Architecture","System thinking|Abstraction"
41,8,Data Structures - Arrays,"Builds strong understanding of contiguous linear data storage.",41,Indexed Data Operations,"Performing insertion, deletion, traversal, and access in arrays.","Software; Interviews","Precision|Efficiency awareness"
42,8,Data Structures - Linked Lists,"Teaches node-based dynamic storage models.",42,Singly Linked List Operations,"Insertion, deletion, and traversal in pointer-connected lists.","Software; Systems","Pointer reasoning|Carefulness"
43,8,Data Structures - Stacks,"Explains LIFO access patterns for controlled processing.",43,Stack Operations and Applications,"Using push, pop, peek, and stack-based problem solving.","Compilers; Parsing; Systems","Order thinking|Discipline"
44,8,Data Structures - Queues,"Introduces FIFO scheduling and ordered buffering.",44,Queue Operations and Scheduling Use Cases,"Working with enqueue, dequeue, and queue-based processing logic.","Scheduling; Systems","Process thinking|Sequencing"
45,8,Data Structures - Trees,"Builds hierarchical representation and traversal thinking.",45,Basic Tree Traversal and Properties,"Understanding nodes, height, levels, and DFS/BFS style traversal.","Search; Databases; Compilers","Hierarchy reasoning|Visualization"
46,9,Algorithms - Linear Search,"Introduces sequential lookup strategies in unordered data.",46,Sequential Search Implementation,"Scanning collections element by element to locate targets.","Basic Software; Learning","Stepwise thinking|Simplicity"
47,9,Algorithms - Binary Search,"Teaches divide-and-conquer lookup in sorted collections.",47,Sorted Search Optimization,"Using low-mid-high logic to reduce search space efficiently.","Software; Interviews; Systems","Optimization|Invariant thinking"
48,9,Algorithms - Basic Sorting,"Builds comparison-based ordering intuition.",48,Bubble and Selection Sort Analysis,"Implementing and comparing simple sorting methods.","Software; Learning","Iteration|Comparison reasoning"
49,9,Algorithms - Recursion,"Develops recursive decomposition and base-case thinking.",49,Recursive Function Tracing,"Writing and tracing recursive calls for smaller subproblems.","Software; Interviews","Abstraction|Mental tracing"
50,9,Algorithms - Greedy Strategy,"Introduces locally optimal selection strategies.",50,Greedy Decision Application,"Applying greedy logic in interval, coin, and selection-style problems.","Optimization; Interviews","Decision-making|Heuristic thinking"
51,10,DBMS - Tables and Keys,"Builds relational structure understanding using rows, columns, and constraints.",51,Primary and Foreign Key Mapping,"Defining entities and relationships using key constraints.","Backend; Analytics; Enterprise","Structure awareness|Data discipline"
52,10,DBMS - SELECT Queries,"Teaches core retrieval operations in SQL.",52,Filtering and Sorting Data,"Using SELECT, WHERE, ORDER BY, and LIMIT clauses correctly.","Backend; Analytics","Precision|Data interpretation"
53,10,DBMS - Joins,"Explains combining related relational datasets.",53,Inner and Outer Join Usage,"Writing joins to merge data across connected tables.","Backend; BI; Product","Relational thinking|Analysis"
54,10,DBMS - Normalization,"Focuses on schema refinement and redundancy reduction.",54,Normal Form Application,"Applying 1NF, 2NF, and 3NF to improve database design.","Backend; DBA; Architecture","System design|Clean modeling"
55,10,DBMS - Transactions and ACID,"Introduces reliable multi-step database operations.",55,Consistency and Isolation Concepts,"Understanding atomicity, consistency, isolation, and durability.","Banking; Enterprise; Backend","Reliability thinking|Correctness"
56,11,OS - Processes and Threads,"Explains concurrent execution units in operating systems.",56,Execution Unit Management,"Comparing process and thread behavior, memory, and scheduling impact.","Systems; Backend","Concurrency awareness|Structured reasoning"
57,11,OS - CPU Scheduling,"Teaches strategies for processor allocation.",57,Scheduling Algorithm Comparison,"Analyzing FCFS, SJF, Priority, and Round Robin scheduling.","Systems; Interviews","Tradeoff thinking|Fairness reasoning"
58,11,OS - Memory Management,"Builds understanding of logical and physical memory mapping.",58,Paging and Segmentation Basics,"Managing memory using pages, frames, and segment structures.","Systems; OS","Abstraction|Resource thinking"
59,11,OS - Deadlocks,"Introduces blocking conditions and resource contention.",59,Deadlock Detection Conditions,"Recognizing circular wait and resource allocation conflicts.","Systems; Interviews","Causal analysis|Debugging mindset"
60,11,OS - File Systems,"Explains persistent data organization within operating systems.",60,File and Directory Management,"Handling files, metadata, directories, and access permissions.","Systems; Storage","Organization|Persistence awareness"
61,12,Networks - OSI and TCPIP Models,"Builds layered communication understanding.",61,Protocol Layer Responsibilities,"Mapping network functions across OSI and TCP/IP layers.","Networking; Cloud; Security","System mapping|Concept layering"
62,12,Networks - TCP and UDP,"Explains transport-level communication tradeoffs.",62,Reliability and Speed Comparison,"Choosing between reliable and lightweight transport protocols.","Backend; Cloud; Media","Tradeoff thinking|Protocol awareness"
63,12,Networks - IP Addressing,"Introduces network identification and routing basics.",63,IPv4 Address and Subnet Basics,"Understanding address classes, subnet masks, and host ranges.","Networking; Cloud","Structure awareness|Interpretation"
64,12,Networks - Routing and Switching,"Explains packet forwarding and local network movement.",64,Packet Path and Switching Logic,"Understanding routers, switches, and forwarding decisions.","Networking; Enterprise; Telecom","System reasoning|Troubleshooting"
