role_id,role_name,role_category,role_definition,target_industries,required_subjects,core_skills
1,Software Engineer,Engineering,"Builds scalable software systems using programming, data structures, algorithms, and engineering best practices.","IT Services; Product Companies; Startups","Programming Fundamentals|Object-Oriented Programming|Data Structures|Algorithms|Database Management Systems|Operating Systems|Software Engineering","Problem Solving|Coding|Debugging|Design Thinking"
2,Backend Developer,Engineering,"Develops server-side logic, APIs, databases, and system integrations for web and mobile applications.","SaaS; Product Companies; FinTech; EdTech","Programming Fundamentals|Object-Oriented Programming|Database Management Systems|Operating Systems|Computer Networks|Web Development|Cloud Computing","API Design|Database Design|System Thinking|Optimization"
3,Frontend Developer,Engineering,"Builds user interfaces, client-side logic, and responsive experiences for web applications.","Product Companies; Startups; Agencies","Programming Fundamentals|Web Development|Software Engineering|English Communication","UI Logic|Responsiveness|Communication|User-Centric Thinking"
4,Full Stack Developer,Engineering,"Works across frontend, backend, database, and deployment layers to deliver end-to-end applications.","Startups; SaaS; Product Companies","Programming Fundamentals|Object-Oriented Programming|Database Management Systems|Web Development|Cloud Computing|Software Engineering","System Integration|Coding|Deployment Awareness|Problem Solving"
5,Data Analyst,Data,"Analyzes structured data, creates reports, and generates actionable insights for business decisions.","Consulting; E-commerce; Finance; Product","Mathematics|Aptitude|Database Management Systems|Data Analytics|English Communication","Analytical Thinking|SQL|Interpretation|Communication"
6,Data Scientist,Data,"Builds statistical and machine learning models to solve prediction and optimization problems.","AI Companies; Analytics Firms; Product Companies","Mathematics|Programming Fundamentals|Machine Learning|Data Analytics|Artificial Intelligence","Statistics|Modeling|Feature Thinking|Experimentation"
7,ML Engineer,Data,"Deploys and optimizes machine learning systems in production applications.","AI Product; SaaS; Research Labs","Programming Fundamentals|Data Structures|Machine Learning|Cloud Computing|Artificial Intelligence","ML Systems|Optimization|Deployment|Engineering Rigor"
8,QA Engineer,Engineering,"Tests applications, identifies defects, and ensures software quality using systematic validation techniques.","IT Services; Product Companies; Enterprise Software","Programming Fundamentals|Software Engineering|Web Development|English Communication","Attention to Detail|Testing Mindset|Documentation|Bug Analysis"
9,DevOps Engineer,Infrastructure,"Automates build, deployment, monitoring, and infrastructure workflows for reliable software delivery.","Cloud Companies; SaaS; Enterprise IT","Operating Systems|Computer Networks|Cloud Computing|DevOps|Cyber Security","Automation|Monitoring|Infrastructure Thinking|Reliability"
10,Cloud Engineer,Infrastructure,"Designs, deploys, and manages applications and services on cloud platforms.","Cloud Providers; SaaS; Enterprise IT","Computer Networks|Operating Systems|Cloud Computing|DevOps","Scalability|Deployment|Service Management|Cost Awareness"
11,Cyber Security Analyst,Security,"Protects systems by identifying vulnerabilities, monitoring threats, and enforcing security controls.","SOC; Consulting; Enterprise IT; Banking","Computer Networks|Operating Systems|Cyber Security|Cloud Computing","Risk Assessment|Threat Analysis|Access Control|Incident Awareness"
12,Database Administrator,Infrastructure,"Manages database performance, security, integrity, and availability across applications.","Enterprise IT; SaaS; Banking; Healthcare","Database Management Systems|Operating Systems|Cloud Computing","Database Tuning|Backup Strategy|Integrity Management|Availability"
13,Business Analyst,Business,"Connects business needs with technical solutions through data interpretation and requirement analysis.","Consulting; Product; BFSI; Operations","English Communication|Aptitude|Data Analytics|Software Engineering","Requirement Gathering|Communication|Interpretation|Structured Thinking"
14,Product Analyst,Product,"Studies product data, user behavior, and business metrics to support product strategy and decisions.","Product Companies; Startups; SaaS","Aptitude|Data Analytics|Database Management Systems|English Communication","Metric Thinking|Insight Generation|Communication|Problem Framing"
15,Network Engineer,Infrastructure,"Designs, configures, and troubleshoots network infrastructure and communication systems.","Telecom; Enterprise IT; Cloud; Security","Computer Networks|Operating Systems|Cyber Security","Routing|Protocol Knowledge|Troubleshooting|Reliability"
16,AI Engineer,Emerging Tech,"Builds AI-enabled systems using machine learning, search, reasoning, and intelligent workflows.","AI Startups; Product Companies; Automation Firms","Programming Fundamentals|Machine Learning|Artificial Intelligence|Cloud Computing","Model Integration|Reasoning|Prompt Thinking|Applied Intelligence"
