question_id,expected_answer,evaluation_rubric
016ba8bf-bd81-4a60-9fd3-79e2c73bbf79,"Skipping the requirements phase can create expensive problems because teams may build the wrong features, misunderstand goals, and require significant rework after development has already progressed.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
02217c96-bc35-48ba-afef-d81c6c37117e,,"{""criteria"": [""Correct and clear answer""], ""scoring"": ""rubric""}"
027df643-008a-42bc-83f8-432db10f7de4,,"{""criteria"": [""Correct and clear answer""], ""scoring"": ""rubric""}"
02a385d6-f334-4833-a01b-e6bc2ab15c7f,Linear equations model steady change and help estimate future outcomes when growth happens at a constant rate.,"{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
02bc9143-72df-4dd8-abcd-9ac33e9ac12e,They organize content into meaningful sections and improve readability and structure for both users and systems.,"{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
03e2be37-ed01-49b3-aa13-204860d31efa,"Abstraction reduces unnecessary implementation exposure, creates clear contracts, and allows team members to work with simplified interfaces without needing every low-level detail.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
041d1633-bb6e-4f46-b10e-f5b310eccb62,"The wrong chart type can hide patterns, exaggerate differences, or make comparisons difficult, leading people to misunderstand the data and make poor decisions.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
05921de7-b2b6-4a45-a48e-5e583c5462f8,,"{""criteria"": [""Correct and clear answer""], ""scoring"": ""rubric""}"
05ad1cb0-0b30-4cb4-91c4-6af486f7b1a2,,"{""criteria"": [""Correct and clear answer""], ""scoring"": ""rubric""}"
05e71160-ab4a-4518-8978-6ffc00e7acc6,"Triangle properties help determine side relationships, angle balance, and load distribution, which are useful for creating rigid and stable structures.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
05f5c394-1fbb-4259-bbc5-d7f05da35423,,"{""criteria"": [""Correct and clear answer""], ""scoring"": ""rubric""}"
06e42521-9581-48bb-8114-139545bbd951,"Recursion works by expressing a problem in terms of a smaller instance of itself, solving the smaller case repeatedly until a simple base case is reached, and then combining or returning the results.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
086e0657-2cbf-4b5e-a57a-2d87822136c4,"The app should explain that when a program needs data that is not currently in main memory, the OS must fetch the required page, which causes delay and affects performance.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
0879279e-f6bd-4138-a261-8b9ce23c522e,"Virtualization makes cloud infrastructure more flexible because physical resources can be divided into isolated virtual environments that are easier to allocate, scale, and manage independently.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
088516eb-c2ea-4b34-b60f-5a25e6ae78ca,,"{""criteria"": [""Correct and clear answer""], ""scoring"": ""rubric""}"
099cb2b8-19e9-4d75-a366-739f6e2a30fc,"A foreign key links quiz attempts to the correct user record, maintaining relationships and helping ensure referential consistency between the tables.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
09c18116-303d-4f2a-a5bb-36bb63597520,A hybrid architecture is rational because sensitive candidate data can remain in a more controlled private environment while scalable public-facing content can be served through public cloud resources.,"{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
0a1d488e-71c0-4b87-8ae3-70e93addd3c4,,"{""criteria"": [""Correct and clear answer""], ""scoring"": ""rubric""}"
0a2a5f48-5a01-4f97-ab54-dc7366b6178a,,"{""criteria"": [""Correct and clear answer""], ""scoring"": ""rubric""}"
0a6e2a79-ab56-47b1-8c35-377ae9dac538,"The app should move from isolated word memorization to context-based exercises, sentence usage, synonym/antonym application, and reading-based reinforcement so learners understand meaning in use.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
0b850653-d39c-45a0-a70c-237de6322125,"Good visualization is not only about aesthetics because the chart must represent data honestly, make patterns understandable, and reduce misinterpretation so decisions are based on clear evidence rather than confusing presentation.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
0d9c9311-9afe-408a-87d5-6de3df4a7798,"To evaluate the performance of the newly deployed model, I would conduct A/B testing to compare its performance against the previous version. This allows us to directly measure the impact on user engagement metrics and gather real-time feedback.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
0dcf21d0-1e51-4a6e-963f-f8d1b6c56cdc,,"{""criteria"": [""Correct and clear answer""], ""scoring"": ""rubric""}"
0fb1f5a2-57c8-4003-9b50-9343492acae7,"The app should introduce private cloud, because it offers cloud-style resource management while keeping infrastructure dedicated to one organization for greater control.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
106839c4-f5c0-471a-9b26-587afd83b44e,"The mole concept acts as the bridge between measurable mass and microscopic particle count, enabling conversion using molar mass and Avogadro’s number.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
11b17ce2-9826-44fa-ad7f-13abaa577e05,"This reveals a gap in responsive design and layout adaptability, including understanding of flexible layouts, relative sizing, and viewport-aware styling.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
129172ed-6d41-458b-b710-93eee83fcbcb,"The app should emphasize shared responsibility, fast feedback, and collaboration between development and operations, because delivery quality depends on teamwork across the full lifecycle.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
1322ad5c-6de6-497e-9855-2cf0212f07f6,"TCP is considered reliable because it establishes a connection, tracks delivery, and helps ensure data arrives correctly and in order.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
147194a7-b07a-4c00-b4e3-f41c484ac6f4,,"{""criteria"": [""Correct and clear answer""], ""scoring"": ""rubric""}"
14e827cb-332f-47bb-9bef-3858fa8832e3,"Search-based AI questions are useful because they reveal whether the learner can represent states, consider alternatives, and move through a problem methodically rather than relying only on intuition.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
157d7087-04e2-4d7f-b811-45356b033924,,"{""criteria"": [""Correct and clear answer""], ""scoring"": ""rubric""}"
17857c44-8871-4cf4-b7a5-493cbd5c09ea,A use case diagram is used to show how users or external actors interact with a system’s main functions.,"{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
17a555f2-f49a-4249-9073-d5bcd7580dd3,"Padding is the space inside an element between its content and border, while margin is the space outside the border separating it from other elements. For example, a card can use padding to keep text away from its edges and margin to separate it from neighboring cards.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
18611cfb-9239-4a19-a03c-94132ad5fe1d,,"{""criteria"": [""Correct and clear answer""], ""scoring"": ""rubric""}"
19045ca2-b5ab-41b3-8229-87e44fc08d30,"A clear, structured response mentioning key steps and rationale.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
1938ab9f-ff1f-442e-b5ee-44cab3f9f601,"Software maintenance is needed to fix bugs, improve features, adapt to changes, and keep the system useful over time.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
19a8adce-7aea-4cb0-b6ba-249c73e2d074,"The environment is important because the agent observes it, interprets it, and takes actions based on what is happening around it.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
19d28b3f-f99f-400b-8144-c415c345b7ac,,"{""criteria"": [""Correct and clear answer""], ""scoring"": ""rubric""}"
1a55a447-6ded-4798-8b83-1ee8cae2b862,'Beautiful' is the adjective.,"{""criteria"": [""Correct and clear answer""], ""scoring"": ""rubric""}"
1a5a0a59-adfb-4445-98b5-e3215a66bd77,,"{""criteria"": [""Correct and clear answer""], ""scoring"": ""rubric""}"
1c0d9823-0a31-49ab-979a-e3f21de58694,,"{""criteria"": [""Correct and clear answer""], ""scoring"": ""rubric""}"
1c0f4f41-b3d3-48a2-a33d-6a7bf6d1084b,"Alkanes contain only single carbon-carbon bonds, while alkenes contain at least one carbon-carbon double bond.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
1c238d20-67ab-4b0c-ae55-1f84985b3df5,"A strong prompt would present a new scenario and ask the learner to justify why a locally optimal step might or might not lead to a good global solution, instead of recalling a known problem name.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
1d1f41fb-33a6-48d7-8d4a-093c3cf82d75,"The DRY principle is being violated. A function would centralize the repeated logic, reduce duplication, simplify updates, and lower the chance of inconsistent behavior.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
1da09fdc-307e-41a7-95d1-9d013afba43f,"A clear, structured response mentioning key steps and rationale.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
1e006a21-8f55-450a-920b-13d90652ba5a,"A feature can pass unit tests but fail in production because integration issues, environment differences, missing edge cases, performance problems, or real user behavior may expose defects not covered by isolated tests.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
1e433ee3-b73d-44e5-9301-0ec7dd1128bb,"A clear, structured response mentioning key steps and rationale.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
1e930963-9949-4957-bd04-ad9cbdecedad,"I would implement Floyd's Tortoise and Hare algorithm to detect a cycle in the linked list. This involves using two pointers that move at different speeds to determine if they meet, indicating a cycle.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
1ec6927c-87ff-4210-9468-d627599a061c,"Analyzing errors in the fraud detection model is important because it helps identify patterns that can lead to model improvements. By understanding the reasons behind false positives, we can refine our feature set and adjust thresholds to enhance accuracy.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
1f0f75ed-39a0-4259-bfde-d00d6cb465d9,"Supervised learning is appropriate because the problem has past examples with known outcomes, allowing the model to learn patterns that relate learner inputs to pass or fail labels.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
1fa2fac0-d091-4db6-8fc3-0280f38dd564,"Thinking in layers is useful because it narrows the problem space, helps isolate whether the issue is in addressing, transport, application behavior, or another level, and makes troubleshooting more systematic.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
1fcbc409-0e83-4a3d-b3dd-87cbeaec1c87,"Addressing and subnetting help infrastructure roles organize devices, segment networks, manage access, and troubleshoot connectivity systematically in larger environments.","{""criteria"": [""Correct and thorough answer""], ""scoring"": ""rubric""}"
1ffb100d-8204-467c-aabd-e6dbfc94f2fa,,"{""criteria"": [""Correct and clear answer""], ""scoring"": ""rubric""}"
200107c3-9f22-44a6-a262-eefa3406647d,,"{""criteria"": [""Correct and clear answer""], ""scoring"": ""rubric""}"
