question_id,scenario,option_a,option_b,option_c,option_d,correct_option
aeaf7497-6d6d-4abe-8cf0-d212455ea254,"A student is asked to find the distance between two points A(1, 2) and B(5, 6) on a coordinate grid for a mapping project.","Midpoint formula: ((x1+x2)/2, (y1+y2)/2)",Distance formula: √((x2-x1)²+(y2-y1)²),Slope formula: (y2-y1)/(x2-x1),Area formula: ½|x1(y2-y3)+x2(y3-y1)+x3(y1-y2)|,B
973268f9-a506-4eae-b923-250a859cefef,A student notices that a pencil appears bent when placed in a glass of water and straight when outside the glass.,Reflection,Refraction,Diffraction,Dispersion,B
e4dbc7d8-2e22-489e-a1b8-d9ab74e69b2e,You need to send a professional email to a client explaining a delay in the project delivery. The delay is due to unexpected technical issues.,"Casual and brief, just mentioning the delay","Formal, apologetic, with explanation and revised timeline","Defensive, blaming technical team for the delay",Informal with emojis to keep it light,B
aab75974-2aab-48ff-b840-5c1da73954e3,"A company reports quarterly profit of ₹1,20,000 which is 20% more than the previous quarter. A finance intern needs to find last quarter's profit.","₹96,000","₹1,00,000","₹1,44,000","₹1,02,000",B
edd4dc9b-f1c6-43ed-bffb-e7210888f5fb,A developer needs to iterate through an array of 50 student names and print each one. The array is called 'students'.,Using a while loop with manual index tracking,Using a for-each loop that directly accesses each element,Using recursion to access each element,Printing each name manually using index 0 to 49,B
ee60e2ae-4069-4228-82d1-8ace26067ad5,A software team is building an animal simulation. They have a base class 'Animal' with a 'makeSound()' method. They need 'Dog' and 'Cat' classes to each make different sounds.,Abstraction — hide the sound from the user,Encapsulation — wrap the sound in a private field,Inheritance with method overriding — each subclass overrides makeSound(),Composition — attach a separate SoundMaker object,C
133447f2-8eab-4467-821f-6eb9ef95179b,"A system processes customer service requests in the order they arrive — first come, first served. A developer needs to choose a data structure.",Stack,Queue,Tree,Hash Map,B
f67535c5-28aa-4989-901b-6a4e8efe5b08,A delivery app must choose the path that minimizes cost at each junction without looking ahead to the full route. The algorithm picks the locally optimal choice at each step.,Dynamic Programming,Greedy Algorithm,Backtracking,Divide and Conquer,B
0c3aacd6-d274-491c-a90b-5b79ca44efdb,"A developer needs to retrieve all orders along with the customer name for orders that exist, even if the customer record has been deleted from the customers table.",INNER JOIN,LEFT JOIN on orders,RIGHT JOIN on customers,FULL OUTER JOIN,B
f5a5a946-8f3f-49dc-8a75-63e54997a68b,A computer with 4 GB RAM is running multiple applications and runs out of physical memory. The OS starts using hard disk space to extend available memory.,Cache memory,Virtual memory with paging,Memory partitioning,Stack allocation,B
a199294d-9cf2-4e0d-90b5-a174bc7e49a2,"A user types 'www.google.com' in their browser. Before the page loads, the computer needs to find the IP address corresponding to this domain name.",HTTP,FTP,DNS,SMTP,C
6f8000d3-2480-45d9-b0bd-9a325718e296,A client needs a mobile app but the requirements keep changing weekly. The development team has 3 months to deliver. The project manager is choosing a development methodology.,Waterfall — clear phases keep the project on track,Agile — iterative sprints accommodate changing requirements,V-Model — strict testing at each phase,Big Bang — develop everything at once and release,B
