subject,type,question,option_a,option_b,option_c,option_d,correct_answer,difficulty,irt_a,irt_b,irt_c
Algorithms,mcq,What is the time complexity of inserting an element into a binary heap?,O(1),O(log n),O(n),O(n log n),B,medium,1.2,0.3,0.15
Algorithms,mcq,Which algorithm guarantees shortest path in a graph with non-negative weights?,BFS,DFS,Dijkstra,Bellman-Ford,C,medium,1.3,0.5,0.1
Algorithms,mcq,What is worst-case complexity of quicksort?,O(n),O(n log n),O(n^2),O(log n),C,medium,1.4,0.6,0.1
Algorithms,mcq,Which paradigm does merge sort follow?,Greedy,Divide and Conquer,Dynamic Programming,Backtracking,B,easy,1.0,-1.0,0.2
Algorithms,mcq,Which data structure is used in BFS?,Stack,Queue,Heap,Tree,B,easy,1.1,-1.2,0.2
Algorithms,mcq,Which algorithm is used for minimum spanning tree?,Dijkstra,Prim,KMP,Binary Search,B,medium,1.3,0.4,0.1
Algorithms,mcq,Which problem is solved using dynamic programming?,Sorting,Knapsack,Searching,Traversal,B,medium,1.5,0.7,0.1
Algorithms,mcq,Which sort is stable?,Quick Sort,Heap Sort,Merge Sort,Selection Sort,C,medium,1.2,0.2,0.15
Algorithms,mcq,What is amortized complexity of dynamic array append?,O(n),O(log n),O(1),O(n log n),C,hard,1.6,1.2,0.1
Algorithms,mcq,Which algorithm detects cycle in graph?,DFS,BFS,Dijkstra,Prim,A,medium,1.3,0.3,0.1
Algorithms,mcq,Topological sort is used in?,Trees,Graphs,Arrays,Stacks,B,medium,1.2,0.2,0.1
Algorithms,mcq,Which is NP-complete?,Sorting,Searching,Travelling Salesman,Traversal,C,hard,1.8,1.5,0.05
Algorithms,mcq,Which algorithm uses greedy approach?,Prim,Merge Sort,DFS,Quick Sort,A,medium,1.2,0.4,0.1
Algorithms,mcq,Which structure supports priority queue?,Heap,Stack,Queue,Array,A,easy,1.1,-1.1,0.2
Algorithms,mcq,Which search works on sorted data?,Linear Search,Binary Search,DFS,BFS,B,easy,1.0,-1.2,0.2
Algorithms,mcq,Which algorithm uses recursion?,Merge Sort,Bubble Sort,Selection Sort,Insertion Sort,A,easy,1.1,-0.8,0.2
Algorithms,mcq,Which algorithm works for negative weights?,Dijkstra,BFS,DFS,Bellman-Ford,D,hard,1.6,1.1,0.1
Algorithms,mcq,Which is divide and conquer?,Quick Sort,Bubble Sort,Insertion Sort,Selection Sort,A,medium,1.3,0.4,0.1
Algorithms,mcq,Which is not comparison sort?,Merge Sort,Quick Sort,Counting Sort,Heap Sort,C,medium,1.2,0.3,0.15
Algorithms,mcq,Which algorithm uses backtracking?,N-Queens,BFS,Dijkstra,Prim,A,medium,1.4,0.6,0.1
Algorithms,situational,You need shortest path with negative edges?,Dijkstra,BFS,Bellman-Ford,DFS,C,medium,1.4,0.5,0.1
Algorithms,situational,Memory constrained sorting?,Merge Sort,Quick Sort,Heap Sort,Bubble Sort,C,hard,1.6,1.2,0.1
Algorithms,situational,Real-time search on sorted data?,Linear Search,Binary Search,DFS,BFS,B,easy,1.0,-1.0,0.2
Algorithms,situational,Need stable sorting?,Quick Sort,Heap Sort,Merge Sort,Selection Sort,C,easy,1.1,-0.9,0.2
Algorithms,situational,Graph traversal for path existence?,DFS,BFS,Dijkstra,Prim,A,medium,1.2,0.2,0.1
Algorithms,situational,Massive dataset sorting external?,Quick Sort,Bubble Sort,External Merge Sort,Insertion Sort,C,hard,1.7,1.3,0.1
Algorithms,situational,Detect cycle in graph?,DFS,BFS,Dijkstra,Prim,A,medium,1.3,0.3,0.1
Algorithms,situational,Fast approximate solution?,Greedy,Dynamic Programming,DFS,BFS,A,medium,1.2,0.4,0.1
Algorithms,situational,Overlapping subproblems?,Greedy,Dynamic Programming,Divide and Conquer,Brute Force,B,easy,1.1,-0.7,0.2
Algorithms,situational,Shortest path with heuristic?,DFS,BFS,A* Search,Dijkstra,C,medium,1.4,0.5,0.1
Artificial Intelligence,mcq,What is the primary goal of artificial intelligence?,Data storage,Human-like decision making,Networking,Automation,B,easy,1.0,-1.2,0.2
Artificial Intelligence,mcq,Which search algorithm guarantees optimal solution?,DFS,BFS,A* Search,Greedy Search,B,medium,1.3,0.4,0.1
Artificial Intelligence,mcq,What does heuristic function do?,Stores data,Estimates cost to goal,Sorts data,Encrypts data,B,medium,1.4,0.5,0.1
Artificial Intelligence,mcq,Which is uninformed search?,A* Search,Greedy Search,BFS,Hill Climbing,C,easy,1.1,-0.9,0.2
Artificial Intelligence,mcq,Which technique mimics human reasoning?,Machine Learning,Expert Systems,Networking,DBMS,B,medium,1.3,0.3,0.1
Artificial Intelligence,mcq,What is Turing test used for?,Speed measurement,Intelligence evaluation,Memory testing,Security testing,B,easy,1.0,-1.1,0.2
Artificial Intelligence,mcq,Which is a learning paradigm?,Supervised,Unsupervised,Both supervised and unsupervised,None of these,C,easy,1.1,-0.8,0.2
Artificial Intelligence,mcq,Which is reinforcement learning?,Trial-and-error with rewards,Sorting,Searching,Storage,A,medium,1.4,0.4,0.1
Artificial Intelligence,mcq,Which model uses neurons?,Decision Tree,Neural Network,SVM,KNN,B,easy,1.0,-1.0,0.2
Artificial Intelligence,mcq,What is overfitting?,Good generalization,Memorization of training data,Underfitting,Noise removal,B,medium,1.4,0.6,0.1
Artificial Intelligence,mcq,Which is a classification algorithm?,Linear Regression,Logistic Regression,K-Means,PCA,B,medium,1.3,0.5,0.1
Artificial Intelligence,mcq,Which is clustering?,KNN,K-Means,Linear Regression,SVM,B,medium,1.2,0.3,0.1
Artificial Intelligence,mcq,Which improves model generalization?,Overfitting,Regularization,Adding noise,Memorization,B,medium,1.5,0.7,0.1
Artificial Intelligence,mcq,Which is feature selection?,Reduce irrelevant features,Add noise,Train model,Deploy model,A,medium,1.3,0.4,0.1
Artificial Intelligence,mcq,Which learning uses a reward system?,Supervised,Unsupervised,Reinforcement,Semi-supervised,C,medium,1.4,0.6,0.1
Artificial Intelligence,mcq,Which is an NLP task?,Parsing text,Sorting arrays,Encrypting data,Routing packets,A,medium,1.3,0.4,0.1
Artificial Intelligence,mcq,Which model is probabilistic?,Naive Bayes,SVM,KNN,Decision Tree,A,medium,1.4,0.5,0.1
Artificial Intelligence,mcq,Which is dimensionality reduction?,PCA,KNN,SVM,Decision Tree,A,medium,1.3,0.5,0.1
Artificial Intelligence,mcq,Which is deep learning?,Shallow networks,Deep neural networks,Linear regression,K-Means clustering,B,easy,1.0,-1.0,0.2
