subject,type,question,option_a,option_b,option_c,option_d,correct_answer,difficulty,irt_a,irt_b,irt_c
Algorithms,mcq,What is the time complexity of inserting an element into a binary heap?,O(1),O(log n),O(n),O(n log n),B,medium,1.2,0.3,0.15
Algorithms,mcq,Which algorithm guarantees shortest path in a graph with non-negative weights?,BFS,DFS,Dijkstra,Bellman-Ford,C,medium,1.3,0.5,0.1
Algorithms,mcq,What is worst-case complexity of quicksort?,O(n),O(n log n),O(n^2),O(log n),C,medium,1.4,0.6,0.1
Algorithms,mcq,Which paradigm does merge sort follow?,Greedy,Divide and Conquer,Dynamic Programming,Backtracking,B,easy,1.0,-1.0,0.2
Algorithms,mcq,Which data structure is used in BFS?,Stack,Queue,Heap,Tree,B,easy,1.1,-1.2,0.2
Algorithms,mcq,Which algorithm is used for minimum spanning tree?,Dijkstra,Prim,KMP,Binary Search,B,medium,1.3,0.4,0.1
Algorithms,mcq,Which problem is solved using dynamic programming?,Sorting,Knapsack,Searching,Traversal,B,medium,1.5,0.7,0.1
Algorithms,mcq,What is the space complexity of merge sort?,O(1),O(log n),O(n),O(n log n),C,medium,1.2,0.2,0.15
Algorithms,mcq,Which search algorithm is fastest on a sorted array?,Linear Search,Binary Search,BFS,DFS,B,easy,1.0,-1.5,0.2
Algorithms,mcq,A company needs to process millions of transactions per second to find duplicates. Which data structure is most efficient?,Array,Linked List,Hash Table,Binary Tree,C,hard,1.6,1.2,0.05
AI,mcq,What does AI stand for?,Artificial Intelligence,Automated Intelligence,Atomic Intelligence,Analytical Integration,A,easy,0.9,-1.8,0.25
AI,mcq,Which of these is a subset of AI?,Blockchain,Machine Learning,Cloud Computing,Cyber Security,B,easy,1.0,-1.5,0.2
AI,mcq,Who is known as the father of AI?,Alan Turing,John McCarthy,Elon Musk,Bill Gates,B,medium,1.2,0.3,0.1
AI,mcq,What is the goal of a Turing test?,To check if a machine can think like a human,To check processing speed,To test battery life,To test screen resolution,A,medium,1.3,0.5,0.1
AI,mcq,Which language is most commonly used for AI development?,C++,Java,Python,Ruby,C,easy,1.1,-1.2,0.2
AI,mcq,What is a Neural Network modeled after?,The human brain,A computer network,Electrical circuits,Social networks,A,easy,1.0,-1.4,0.2
AI,mcq,Which of these is an AI assistant?,Siri,Notepad,Calculator,Windiff,A,easy,0.9,-2.0,0.3
AI,mcq,What is computer vision?,Giving computers the ability to see and interpret images,Writing code for screens,Improving monitor resolution,Building cameras,A,medium,1.4,0.6,0.1
AI,mcq,A robot needs to navigate a warehouse autonomously while avoiding obstacles. Which AI field is most relevant?,NLP,Computer Vision,Expert Systems,Genetic Algorithms,B,hard,1.7,1.5,0.05
Chemistry,mcq,What is the chemical symbol for gold?,Ag,Au,Gd,Go,B,easy,1.0,-1.2,0.2
Chemistry,mcq,What is the atomic number of Hydrogen?,1,2,3,4,A,easy,0.9,-1.5,0.25
Chemistry,mcq,Which gas is most abundant in Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,B,easy,1.1,-1.1,0.2
Chemistry,mcq,What is the pH of pure water?,5,6,7,8,C,easy,1.0,-1.4,0.2
Chemistry,mcq,Which element is present in all organic compounds?,Oxygen,Carbon,Nitrogen,Hydrogen,B,easy,1.1,-1.3,0.2
Chemistry,mcq,What is the common name for Sodium Chloride?,Sugar,Salt,Baking Soda,Vinegar,B,easy,0.9,-1.6,0.25
Chemistry,mcq,Which state of matter has a fixed volume but no fixed shape?,Solid,Liquid,Gas,Plasma,B,easy,1.0,-1.5,0.2
Chemistry,mcq,What is the process of a solid turning directly into a gas?,Evaporation,Sublimation,Condensation,Melting,B,medium,1.3,0.4,0.1
Chemistry,mcq,A scientist discovers a new substance that conducts electricity and is shiny. It likely belongs to which group?,Non-metals,Metals,Noble Gases,Halogens,B,medium,1.4,0.6,0.1
Cloud Computing,mcq,What does SaaS stand for?,Software as a Service,Storage as a Service,System as a Service,Security as a Service,A,easy,1.0,-1.5,0.2
Cloud Computing,mcq,Which of these is a cloud service provider?,AWS,Windows Media Player,Photoshop,Excel,A,easy,0.9,-1.8,0.25
Cloud Computing,mcq,What is "Elasticity" in cloud computing?,Ability to stretch cables,Ability to scale resources up and down,Ability to run on battery,Ability to change colors,B,medium,1.2,0.3,0.1
Cloud Computing,mcq,Which model involves sharing resources with multiple organizations?,Private Cloud,Public Cloud,Hybrid Cloud,Personal Cloud,B,medium,1.3,0.5,0.1
Cloud Computing,mcq,What is the main benefit of cloud computing?,Portability,Cost Efficiency,High Speed,Complex Setup,B,easy,1.1,-1.3,0.2
Cloud Computing,mcq,Which service model provides a virtual development environment?,IaaS,PaaS,SaaS,DBaaS,B,medium,1.4,0.6,0.1
Cloud Computing,mcq,Where is data stored in cloud computing?,On the local hard drive,In remote servers,On a USB stick,In the monitor,B,easy,1.0,-1.6,0.2
Cloud Computing,mcq,What is a Hybrid Cloud?,A mix of public and private clouds,A cloud that changes shape,A cloud for cars,A cloud that only works at night,A,medium,1.3,0.4,0.1
Cloud Computing,mcq,A startup wants to launch a scaling app without managing servers. Which model should they use?,IaaS,Serverless,Private Cloud,Mainframe,B,hard,1.6,1.2,0.05
Cyber Security,mcq,What does VPN stand for?,Virtual Private Network,Very Private Network,Virtual Personal Network,Visual Public Network,A,easy,1.0,-1.5,0.2
Cyber Security,mcq,Which of these is a type of malware?,Firewall,Antivirus,Ransomware,RAM,C,easy,1.1,-1.4,0.2
Cyber Security,mcq,What is phishing?,A way to catch fish,A fraudulent attempt to obtain sensitive info,A type of coding,A network protocol,B,easy,1.0,-1.6,0.2
Cyber Security,mcq,What is 2FA?,2 Fast Actions,Two-Factor Authentication,2 File Access,Twice For Alpha,B,easy,1.1,-1.3,0.2
Cyber Security,mcq,Which protocol is secure for web browsing?,HTTP,HTTPS,FTP,SMTP,B,easy,1.1,-1.2,0.2
Cyber Security,mcq,What does a Firewall do?,Blocks unauthorized access,Cleans the computer,Increases internet speed,Restarts the computer,A,easy,1.0,-1.5,0.2
Cyber Security,mcq,What is a "Brute Force" attack?,An attack using physical force,Trial and error to guess passwords,A software update,A network test,B,medium,1.3,0.5,0.1
Cyber Security,mcq,What is Encryption?,Converting data into a secret code,Deleting files,Copying data,Sending emails,A,easy,1.1,-1.4,0.2
Cyber Security,mcq,An employee receives an email asking to reset their password via a link that looks suspicious. What is this?,DDoS,Phishing,SQL Injection,Man-in-the-middle,B,medium,1.4,0.6,0.1
